yield,perarea,fruitarea,yieldrai,year
116322.00,133247.00,113929.00,1021.00,2547
91655.00,130880.00,110962.00,826.00,2548
74861.00,128404.00,110577.00,677.00,2549
133532.00,125863.00,113644.00,1175.00,2550
100584.00,119947.00,115349.00,872.00,2551
122778.00,115253.00,111616.00,1100.00,2552
66131.00,111912.00,109307.00,605.00,2553
56092.00,112532.00,108916.00,515.00,2554
110026.00,115938.00,108081.00,1018.00,2555
127046.00,124620.00,108494.00,1171.00,2556
151141.00,158079.00,125437.00,1205.00,2557
124495.00,167040.00,125404.00,993.00,2558
136807.00,202823.00,127250.00,1075.00,2559
114252.00,208848.00,130911.00,873.00,2560
154773.00,217725.00,147201.00,1051.00,2561
277729.00,223886.00,157833.00,1760.00,2562
315552.00,232011.00,196158.00,1609.00,2563
